impl,kernel,N,iter,gpu_ms,cpu_wall_ms,tflops
cuda-tiled,matmul_tiled,2048,6,0.996864,,17.233914
cuda-tiled,matmul_tiled,2048,7,0.519008,,33.101358
cuda-tiled,matmul_tiled,2048,8,0.506752,,33.901926
cuda-tiled,matmul_tiled,2048,9,0.784704,,21.893438
cuda-tiled,matmul_tiled,4096,0,5.392768,,25.485791
cuda-tiled,matmul_tiled,4096,1,3.63872,,37.771236
cuda-tiled,matmul_tiled,4096,2,5.176256,,26.551807
cuda-tiled,matmul_tiled,4096,3,4.9064,,28.012178
cuda-tiled,matmul_tiled,4096,4,3.853472,,35.666265
cuda-tiled,matmul_tiled,4096,5,4.896544,,28.068563
cuda-tiled,matmul_tiled,4096,6,5.10144,,26.941208
cuda-tiled,matmul_tiled,4096,7,4.228032,,32.506601
cuda-tiled,matmul_tiled,4096,8,4.225824,,32.523588
cuda-tiled,matmul_tiled,4096,9,4.601184,,29.870346
oxide-tiled,safe,1024,0,0.245984,0.770630,8.730176
oxide-tiled,safe,1024,1,0.239872,0.343418,8.952624
oxide-tiled,safe,1024,2,0.241504,0.272040,8.892125
oxide-tiled,safe,1024,3,0.24208,0.271616,8.870967
oxide-tiled,safe,1024,4,0.24176,0.272000,8.882709
oxide-tiled,safe,1024,5,0.24128,0.277533,8.90038
oxide-tiled,safe,1024,6,0.241216,0.273747,8.902741
oxide-tiled,safe,1024,7,0.241472,0.275806,8.893303
oxide-tiled,safe,1024,8,0.241376,0.278078,8.89684
oxide-tiled,safe,1024,9,0.241952,0.285872,8.87566
oxide-tiled,unchecked,1024,0,0.233376,0.438561,9.201819
oxide-tiled,unchecked,1024,1,0.236256,0.288829,9.089647
oxide-tiled,unchecked,1024,2,0.236832,0.283762,9.06754
oxide-tiled,unchecked,1024,3,0.235648,0.764077,9.113099
oxide-tiled,unchecked,1024,4,0.236352,0.288012,9.085955
oxide-tiled,unchecked,1024,5,0.237024,0.280239,9.060195
oxide-tiled,unchecked,1024,6,0.235584,0.289687,9.115575
oxide-tiled,unchecked,1024,7,0.234848,0.294291,9.144143
oxide-tiled,unchecked,1024,8,0.235008,0.275731,9.137917
oxide-tiled,unchecked,1024,9,0.237344,0.281470,9.04798
oxide-tiled,safe,2048,0,2.031392,2.125309,8.45719
oxide-tiled,safe,2048,1,2.80528,2.905175,6.124119
oxide-tiled,safe,2048,2,1.767968,1.849583,9.717296
oxide-tiled,safe,2048,3,2.045856,2.114456,8.397399
oxide-tiled,safe,2048,4,2.826112,2.945912,6.078977
oxide-tiled,safe,2048,5,2.054624,2.151032,8.361563
oxide-tiled,safe,2048,6,2.1496,2.243279,7.992124
oxide-tiled,safe,2048,7,2.320576,2.551188,7.403278
oxide-tiled,safe,2048,8,2.049248,2.136918,8.383499
oxide-tiled,safe,2048,9,2.548256,2.673221,6.741815
oxide-tiled,unchecked,2048,0,2.38016,2.464476,7.217947
oxide-tiled,unchecked,2048,1,1.74416,1.847291,9.849938
oxide-tiled,unchecked,2048,2,2.8776,2.985164,5.970208
oxide-tiled,unchecked,2048,3,1.744096,1.818367,9.8503
oxide-tiled,unchecked,2048,4,1.732224,1.800726,9.91781
oxide-tiled,unchecked,2048,5,2.773184,2.874848,6.194998
oxide-tiled,unchecked,2048,6,2.118208,2.240400,8.110568
oxide-tiled,unchecked,2048,7,2.023968,2.129919,8.488212
oxide-tiled,unchecked,2048,8,2.6904,2.804703,6.385619
oxide-tiled,unchecked,2048,9,2.668704,2.781603,6.437533
oxide-tiled,safe,4096,0,21.451839,21.754066,6.406861
oxide-tiled,safe,4096,1,20.784128,21.138336,6.612688
oxide-tiled,safe,4096,2,19.683329,19.948971,6.982506
oxide-tiled,safe,4096,3,18.632799,18.876367,7.376184
oxide-tiled,safe,4096,4,17.030081,17.251374,8.070364
oxide-tiled,safe,4096,5,17.832319,18.101155,7.707295
oxide-tiled,safe,4096,6,17.628384,17.909671,7.796458
oxide-tiled,safe,4096,7,17.917215,18.169583,7.670776
oxide-tiled,safe,4096,8,17.260416,17.485434,7.962667
oxide-tiled,safe,4096,9,17.83696,18.077524,7.70529
oxide-tiled,unchecked,4096,0,16.928225,17.422970,8.118923
oxide-tiled,unchecked,4096,1,17.374847,17.637263,7.910225
oxide-tiled,unchecked,4096,2,17.371136,17.604051,7.911915
oxide-tiled,unchecked,4096,3,17.460257,17.696578,7.871531
oxide-tiled,unchecked,4096,4,16.688768,16.913542,8.235416
oxide-tiled,unchecked,4096,5,18.5592,18.817372,7.405435
oxide-tiled,unchecked,4096,6,15.882464,16.106423,8.653503
oxide-tiled,unchecked,4096,7,17.795424,18.182034,7.723275
oxide-tiled,unchecked,4096,8,17.024033,17.279442,8.073231
oxide-tiled,unchecked,4096,9,17.157663,17.452032,8.010354
